type,length_of_arr,no_compares,no_swaps,time
insert,2500,1567657,1567653,2.104123830795288
merge,2500,27021,25135,0.08224368095397949
quick,2500,21694,34483,0.07467460632324219
dual_quick,2500,18053,28170,0.05083322525024414
hybrid,2500,31212,30736,0.04513120651245117
insert,2500,1555119,1555113,1.9410169124603271
merge,2500,27032,25096,0.04664111137390137
quick,2500,20996,35042,0.03989839553833008
dual_quick,2500,17826,28837,0.03555798530578613
hybrid,2500,31278,30823,0.042685508728027344
insert,2500,1616797,1616791,1.8462519645690918
merge,2500,27022,25121,0.045539140701293945
quick,2500,19713,32690,0.03739285469055176
dual_quick,2500,18219,28669,0.03613471984863281
hybrid,2500,31420,30957,0.041187286376953125
insert,2600,1696296,1696286,1.9560871124267578
merge,2600,28339,26262,0.047467708587646484
quick,2600,22732,34401,0.04198098182678223
dual_quick,2600,18367,28822,0.05674862861633301
hybrid,2600,33041,32583,0.049408674240112305
insert,2600,1703768,1703761,2.496166229248047
merge,2600,28355,26288,0.04690408706665039
quick,2600,21481,33876,0.03999805450439453
dual_quick,2600,19763,30060,0.037543296813964844
hybrid,2600,33425,32974,0.046137332916259766
insert,2600,1691487,1691482,1.9713778495788574
